FAMILIA,CODIGO,NOMBRE CIENTIFICO,NOMBRE COMUN,STATUS,T-1,T-2,T-3,T-4,T-5,T-6,T-7,T-8,T-9,TOTAL,
PELECANIDAE,PELOC,Pelecanus occidentalis,Pelícano marrón,Mb,,,,,,,,,,,
PELECANIDAE,PELTH,Pelecanus thagus,Pelícano peruano,Ml,,,,,,40,,,,40,
ARDEIDAE,IXOEX,Ixobrychus exilis,Garcita leonada,R,,,,,,,,1,,1,
ARDEIDAE,NYCNY,Nycticorax nycticorax,Garza huaco,R,30,,5,,,,,16,2,53,
ARDEIDAE,NYCVI,Nyctanassa violacea,Huaco de corona amarilla,R,2,,,,,,1,6,,9,
ARDEIDAE,BUTST,Butorides striata,Garza tamanquita,R,1,,,,,1,1,3,,6,
ARDEIDAE,BUBIB,Bubulcus ibis,Garza bueyera,R,73,,,,,,,,1,74,
ARDEIDAE,ARDCO,Ardea cocoi,Garza cuca,Ma,,,,,,,,,,0,
ARDEIDAE,ARDAL,Ardea alba,Garza grande,R,1,2,,,3,1,3,,,10,
ARDEIDAE,EGRTR,Egretta tricolor,"Garza Pechiblanca, Garza tricolor",Ml,,,,,,,,,,0,
ARDEIDAE,EGRTH,Egretta thula,Garza blanca chica,R,,,,,,6,2,1,,9,
ARDEIDAE,EGRCA,Egretta caerulea,Garza azul,R,,,,,1,,,,,1,
THRESKIONITHIDAE,PLERI,Plegadis ridgwayi,Yanavico,R,34,,,,4,10,,,,48,
THRESKIONITHIDAE,THEME,Theristicus melanopis,Bandurria de Cara Negra,Acc,,,,,,,,,,0,
THRESKIONITHIDAE,PLAAJ,Platalea ajaja,Espatula rosada,Acc,,,,,,,,,,0,
CATHARTIDAE,CORAT,Coragyps atratus,Gallinazo cabeza negra,R,65,,,39,8,5,,4,186,307,
CATHARTIDAE,CATAU,Cathartes aura,Gallinazo cabeza roja,Ml,,,,,,,,,,0,
PANDIONIDAE,PANHA,Pandion haliaetus,Águila pescadora,Mb,,,,,,,,,,,
ACCIPITRIDAE,CIRCI,Circus cinereus,Gavilán cenizo,Ml,,,,,,,,,,0,
ACCIPITRIDAE,BUTME,Buteogallus meridionalis,Gavilán de campo,Ma,,,,,,,,,,0,
ACCIPITRIDAE,PARUN,Parabuteo unicinctus,Gavilán oscuro acanalado,R,1,,,,2,1,,2,1,7,
ACCIPITRIDAE,GERPO,Geranoaetus polyosoma,Aguilucho comun,Ml,,,,,,,,,,0,
ACCIPITRIDAE,GERME,Geranoaetus melanoleucus,Aguilucho grande,Ma,,,,,,,,,,0,
ACCIPITRIDAE,BUTPL,Buteo platypterus,Aguilucho de ala ancha,Mb,,,,,,,,,,,
TYTONIDAE,TYTAL,Tyto alba,Lechuza de los campanarios,R,,,,,,,,,,0,
STRIGIDAE,ATHCU,Athene cunicularia,Lechuza de los arenales,R,,,,,7,,,,,7,
STRIGIDAE,ASIFL,Asio flammeus,Lechuza de Oreja Corta,Acc,,,,,,,,,,0,
ALCEDINIDAE,CHLAM,Chloroceryle americana,Martín pescador,Ml,,,,,,,,,,0,
FALCONIDAE,CARPL,Caracara plancus,Carancho,Acc,,,,,,,,,,0,
FALCONIDAE,MILCH,Milvago chimachima,Cara cara cabeza amarilla,Acc,,,,,,,,,,0,
FALCONIDAE,FALSP,Falco sparverius,Cernícalo,R,,,,,2,,,,1,3,
FALCONIDAE,FALFE,Falco femoralis,"Halcón aplomado, Halcón perdiguero",Ma,,,,,,,,,,0,
FALCONIDAE,FALPE,Falco peregrinus,Halcón Peregrino,Mb,,,,,,,,,,,
PSITTACIDAE,BROVE,Brotogeris versicolorus,"Pihuicho, Perico ala blanca",Ml,,,,,,,,,,0,
PSITTACIDAE,FORCO,Forpus coelestis,Perico esmeralda,Ml,,,,,,,,,,0,
PSITTACIDAE,PSIWA,Psittacara wagleri,Cotorra de wagler,Ml,,,,,,,,,,0,
PSITTACIDAE,PSIER,Psittacara erythrogenys,Cotorra cabeza roja,Ml,,,,,,,,,,0,
FURNARIIDAE,GEOPE,Geositta peruviana,Pampero peruano,Ml,,,,,,,,,,0,
FURNARIIDAE,PHLME,Phleocryptes melanops,Totorero,R,4,,,,1,2,,5,,12,
TYRANNIDAE,CAMOB,Camptostoma obsoletum,Mosqueta silbadora,R,,,,,,,,,,0,
TYRANNIDAE,TACRU,Tachuris rubrigastra,Siete colores de la totora,R,5,,,,1,1,,1,2,10,
TYRANNIDAE,MYIFA,Myiophobus fasciatus,Mosqueta modesta,Ml,,,,,,,,,,0,
TYRANNIDAE,PYRRU,Pyrocephalus rubinus,"Turtupillín, putilla",R,,,,,3,1,,1,2,7,
TYRANNIDAE,LESOR,Lessonia oreas,Negrito,R,,,,,,,,,,0,
TYRANNIDAE,MUSMA,Muscisaxicola maclovianus,Dormilona cabeza oscura,Ml,,,,,,,,,,0,
TYRANNIDAE,MUSBR,Muscigralla brevicauda,Dormilona cola corta,R,,,,,,,,,,0,
TYRANNIDAE,TYRME,Tyrannus melancholicus,Tirano tropical o pepite,R,,,,,,,,,,0,
TYRANNIDAE,TYRSA,Tyrannus savana,Atrapamoscas cola de tijera,Acc,,,,,,,,,,0,
TYRANNIDAE,TYRTY,Tyrannus tyrannus,Atrapamoscas migratorio,Mb,,,,,,,,,,,
CORVIDAE,CYAMY,Cyanocorax mystacalis,Urraca,Acc,,,,,1,,,,,1,
HIRUNDINIDAE,PYGCY,Pygochelidon cyanoleuca,Santa Rosita,R,7,,1,,4,4,,2,5,23,
HIRUNDINIDAE,PROTA,Progne tapera,Martin pechipardo,Acc,,,,,,,,,,0,
HIRUNDINIDAE,PROSU,Progne subis,Golondrina purpúrea,Mb,,,,,,,,,,,
HIRUNDINIDAE,PROEL,Progne elegans,"Golondrina negra, Golondrina del Sur",Acc,,,,,,,,,,0,
HIRUNDINIDAE,RIPRI,Riparia riparia,Golondrina ribereña,Ma,,,,,,,,,,0,
HIRUNDINIDAE,HIRRU,Hirundo rustica,Golondrina migratoria,Mb,,,,,,,,,,,
HIRUNDINIDAE,PETRU,Petrochelidon rufocollaris,Golondrina de cuello castaño,Ml,,,,,,,,,,0,
TROGLODYTIDAE,TROAE,Troglodytes aedon,Cucarachero,R,5,,,1,2,1,,3,7,19,
TURDIDAE,TURCH,Turdus chiguanco,"Chiguanco, zorzal",Ml,,,,,,,,,,0,
MIMIDAE,MIMLO,Mimus longicaudatus,Chisco,R,,,,6,,,,,1,7,
MOTACILLIDAE,ANTPE,Anthus peruvianus,"Chichirre, cachirla amarilla",R,,,,,,,,,,0,
THRAUPIDAE,CONCI,Conirostrum cinereum,Mielerito gris,R,,,,,,,,,,0,
THRAUPIDAE,SICFL,Sicalis flaveola,"Botón de oro, Chirigüe azafranado",Ml,,,,,,,,,1,1,
THRAUPIDAE,SICLU,Sicalis luteola,Triguero común,R,2,,,,11,,3,21,,37,
THRAUPIDAE,SICRA,Sicalis raimondii,"Trile bajoandino, Chirigüe de Raimondi",Ml,,,,,,,,,,0,
THRAUPIDAE,VOLJA,Volatinia jacarina,Saltapalito,R,,,,,1,,,,,1,
THRAUPIDAE,SPOPE,Sporophila peruviana,Espiguero pico de loro,Ml,,,,,,,,,,0,
THRAUPIDAE,SPOTE,Sporophila telasco,Espiguero corbatón,Ml,1,,,,2,,,5,,8,
THRAUPIDAE,SPOSI,Sporophila simplex,Espiguero simple,Ml,,,,,,,,,,0,
THRAUPIDAE,SALST,Saltator striatipectus,Saltador listado,Ml,,,,,,,,,,0,
THRAUPIDAE,COEFL,Coereba flaveola,Mielerito,Ml,,,,,,,,,4,4,
THRAUPIDAE,THREP,Thraupis episcopus,"Violinista celeste, Luisa",Ml,,,,,,,,,,0,
THRAUPIDAE,THRPA,Thraupis palmarum,"Violinista verde, Violinista de Palmer",Acc,,,,,,,,,,0,
EMBERIZIDAE,ZONCA,Zonotrichia capensis,"Gorrión americano, Pichisanka, Chingolo",R,,,,,,,,,,0,
ICTERIDAE,DIVWA,Dives warszewiczi,"Tordo grande, tordo negro",Ml,,3,,,6,,,2,,11,
ICTERIDAE,MOLBO,Molothrus bonariensis,Tordo parásito,R,,,,,,,,,6,6,
ICTERIDAE,CHRIC,Chrysomus icterocephalus,Tordo amazónico cabeza amarilla,R,,,,,5,9,,1,,15,
ICTERIDAE,STURBE,Sturnella bellicosa,"Huanchaco, Pecho colorado",R,,,,,,,,,,0,
FRINGILLIDAE,SPIMA,Spinus magellanicus,Jilguero cabeza negra,R,,,,,,,,,,0,
PASSERIDAE,PASDO,Passer domesticus,Gorrion europeo,R,,,,,,,,,67,67,
