FAMILIA,CODIGO,NOMBRE CIENTIFICO,NOMBRE COMUN,STATUS,T-1,T-2,T-3,T-4,T-5,T-6,T-7,T-8,T-9,TOTAL
HYDROBATIDAE,OCEOC,Oceanites oceanicus,Golondrina de mar de wilson,S,,,,,,,,,,0
HYDROBATIDAE,OCEMA,Oceanodroma markhami,Golondrina de mar de Markham,S,,,,,,,,,,0
HYDROBATIDAE,OCEHO,Oceanodroma hornbyi,Golondrina de mar de collar,Ma,,,,,,,,,,0
CICONIIDAE,JABMI,Jabiru mycteria,Cigüeña jabirú,Acc,,,,,,,,,,0
CICONIIDAE,MYCAM,Mycteria americana,Cigüeña gabán,Acc,,,,,,,,,,0
FREGATIDAE,FREMA,Fregata magnificens,Avefragata magnifica,Acc,,,,,,,,,,0
SULIDAE,SULNE,Sula nebouxii,Piquero de Pata Azul,Mb,,,,,,,,,,0
SULIDAE,SULVA,Sula variegata,Piquero común,Ml,,,,,,,,,,0
PHALACROCORACIDAE,PHAGA,Phalacrocorax gaimardi,Chuita,Ml,,,,,,,,,,0
PHALACROCORACIDAE,PHABR,Phalacrocorax brasilianus,"Cushuri, cormorán, cuervo de mar",R,,,,,,,,25,,25
PHALACROCORACIDAE,PHABO,Phalacrocorax boungainvillii,Guanay,Ml,,,,,,,,,,0
PELECANIDAE,PELOC,Pelecanus occidentalis,Pelícano marrón,Mb,5,177,84,478,7,1,1,177,2,932
PELECANIDAE,PELTH,Pelecanus thagus,Pelícano peruano,Ml,,,,,,,,,,0
ARDEIDAE,IXOEX,Ixobrychus exilis,Garcita leonada,R,,,,,,,,,,0
ARDEIDAE,NYCNY,Nycticorax nycticorax,Garza huaco,R,,,,,,,,124,,124
ARDEIDAE,NYCVI,Nyctanassa violacea,Huaco de corona amarilla,R,,,,2,1,,,,,3
ARDEIDAE,BUTST,Butorides striata,Garza tamanquita,R,7,18,3,16,3,,,7,,54
ARDEIDAE,BUBIB,Bubulcus ibis,Garza bueyera,R,,4,,9,1,,,,,14
ARDEIDAE,ARDCO,Ardea cocoi,Garza cuca,Ma,4,5,6,2,5,1,,1,,24
ARDEIDAE,ARDAL,Ardea alba,Garza grande,R,17,14,,12,,,,3,5,51
ARDEIDAE,EGRTR,Egretta tricolor,"Garza Pechiblanca, Garza tricolor",Ml,,,,1,,,,,,1
ARDEIDAE,EGRTH,Egretta thula,Garza blanca chica,R,1,3,1,1,2,,,5,3,16
ARDEIDAE,EGRCA,Egretta caerulea,Garza azul,R,,,,,,,,,,0
THRESKIONITHIDAE,PLERI,Plegadis ridgwayi,Yanavico,R,9,6,9,12,14,,,90,,140
THRESKIONITHIDAE,THEME,Theristicus melanopis,Bandurria de Cara Negra,Acc,,4,,4,2,1,2,15,,28
THRESKIONITHIDAE,PLAAJ,Platalea ajaja,Espatula rosada,Acc,20,,,1,,,,44,,65
